"name","item"
"Kitchen 99","Finger Chips"
"Ootada Mane","Finger Chips"
"Mirza Fry & Chinese","Finger"
"Dairy Den","Figs - Almonds (badam - Anjeer) 125 Ml Mini Tub"
"Burger and Beyond","Fiery Chicken Burger"
"Happy Sugar","Ferrero Rocher Cake"
"The Shake Maker","Ferrero Rocher"
"Lassi Day","Ferrero Rocher"
"The Famous Pavbhaji & Pulav","Ferrero Rocher"
"Cake Corner","Father's Day Special Cake [ Special Offer ]"
"Manohar Cholafali","Farsipoori 750gm"
"Farmer's Cafe","Farmer's Special"
"pizza cave","Farm Fresh"
"New Rashtriya Bhajiya House","Farali Mirchivada (250 Grams)"
"Manek Chowk Ganthiya Corner","Farali Lunch pack"
"Shreeji Farali Center","Farali Khichdi"
"Devnarayan Farali Khichdi","Farali Dahi Khichadi (250 gms)"
"Bablu Shree Farali Center","Farali Banana Chevdo [250gm]"
"Prajapati Farali Khichdi Center","Farali Bafvada (1 Dish)"
"Bawarchi Dum Biryani & Kabab","Family Pack Chicken Biryani"
"BFC Bangalore Fried Chicken","Family Pack"
"Pomo'S Pizza","Family Pack"
"Ravi Tea Point And Chat Centre","Family Pack"
"BAWARCHI'S  DAWAT BIRYANI","Family Pack"
"Papa Louie's Pizza","Family Meal"
"William John'S Pizza","Family Meal"
"Arabian Shake Cafe_Gen Hosp Junction","Family Meal"
"Papa Louie'S Pizza","Family Meal"
"Meritorious","Family Combo"
"Kook Du Ku Curries","Family Combo"
"Highland Park","Family Combo"
"Sethi Milk Badam","Faluda Rabri Per Glass"
"Karachiwala Bakery","Faluda Cake"
"9834 The Fruit Truck","Falsa Shots (4 Shots)"
"Nb Falooda","Falooda"
"Al Taza","Falafel Roll"
"Baba Ganoush","Falafel Roll"
"Zubaan Arabian Kitchen","Falafel Platter"
"Habibi Falafel","Falafel Plate"
"Go Native","Falafel Pita Pockets"
"Falafel Express","Falafel over Rice"
"Ajay Ganthiya Rath","Fafda [100 Grams]"
"New Purohit Chawana And Sweet Mart","Fafda (250 gms)"
"Kanaiya  Ganthiya  Center","Fafda (100 gms)"
"Basaveshwar khanavali","Extra Sambar"
"Jay Kalyan Poha Cornar","Extra Pav"
"BASAVESHWARA KHANAVALI","Extra Papad"
"Saanvika Waffle House","Extra Nutella"
"Lollo Rosso","Extra Muhammara"
"Ahalan Mandhi","Extra Mayonnaise"
"Jay Brahmani Fast Food","Extra Mayonnaise"
"Jp'S Burger","Extra Mayonnaise"
"Saurashtra Gathiya Center","Extra Green Chutney (100 gms)"
"MUMBAI BITES BY CHEF TALK","Extra Curry"
"Maharaj Sandwich & Pizza","Extra Cheese Jain Pizza (10')"
"Real Paprika New Ranip","Extra Cheese"
"Kolkata Rolls & Wraps","Extra Cheese"
"Eggs house","Extra Cheese"
"Mahi The Food Corner","Extra Cheese"
"Sandwich Boxx","Extra Cheese"
"Shree Kastbhanjan Dev Chula Dhosa Pizza & Sandwich","Extra Cheese"
"Yashvi Dosa Hub","Extra Cheese"
"High Octane","Extra Cheese"
"The Western Bites","Extra Cheese"
"Misal Darbar-South Bopal","Extra Cheese"
"King Pizza Corner","Extra Cheese"
"pomo's pizza","Extra Cheese"
"Tasty Hut","Extra Cheese"
"Royal Pizza Since 2015","Extra Cheese"
"Sapna Maggi & Pasta","Extra Cheese"
"Gopal Dosa","Extra Cheese"
"Bhukkhad Bhau","Extra Cheese"
"The Born's Fire Pizza","Extra Cheese"
"Balaji Fancy Dosa","Extra Cheese"
"Heaven Of Chai","Exotic Supreme Veg"
"Bombay Burger Company","Exotic Pizza"
"Dream Cream Fast Food","Exotic Pizza"
"Foody Adda","Executive Meal Pack"
"Shivas Coffee Bar And Snacks","Espresso"
"On ten rooftop lounge","Espresso"
"SIP CHAT CAFE","Espresso"
"Cuppuccino","Espresso"
"Ronee'S Coffee","Espresso"
"Mannheim Coffee","Espresso"
"Lithosphere","Espresso"
"Whatta Waffle","Espresso"
"Mitti Lifestyle Store & Cafe","Espresso"
"Ami Bake House","Espresso"
"The Cafe Baraco - THE RESTRO CAFE- VIJAY CROSS ROA","Espresso"
"5 Flavours","Espresso"
"Raffaele's Ristorante Pizzeria","Espresso"
"Casa Fresco","English Breakfast"
"McCafe by McDonald's","English Breakfast"
"Cafe Noir","English Breakfast"
"Lot Like Crepes","English Breakfast"
"Chaska Bun","Elaichi Tea"
"Shree Ambica Farsan Mart","Elaichi Jalebi [250 grams]"
"My Sugarpot","Elaichi Chai"
"The Bun Club","Elachi Tea"
"A-One Bombay Biryani","Eggs Biryani"
"Fnp Cakes N More","Eggless Vanilla Cake (500 gram)"
"CAKE BOX","Eggless Strawberry Cake [500grams]"
"Street House Bakers","Eggless Strawberry Cake [1 Kg]"
"GRAPES GEL HOMEMADE BAKERY.","Eggless Simple Vanilla Cake (Per Pound)"
"Happy Belly Bakes","Eggless Red Velvet Cake"
"CAKE SUNSHINE","Eggless Pure Chocolate Cake (1 Pound)"
"Laxmi Confectioers","Eggless Mango Pastry (1 pc)"
"Bhagwan cake house","Eggless Kit Kat [500gm]"
"Cake Gallery","Eggless Fresh Fruit Cake [450gms]"
"Monginis - TV Center","Eggless Farm House Chocolate Cake Small (500 gms)"
"Riddham Bakers & B'day Item","Eggless Dark Chocolate Cake"
"Live Cake Company","Eggless Chocolate Vanilla"
"Bhagwan cake corner","Eggless Chocolate Cake"
"Bittu Cakes & More","Eggless Chocolate Brownie Cake"
"Mrs. Cream by Neha","Eggless Choco Truffle Cake"
"CAKE CARTOON","Eggless Choco Fantasy Cake [450 Gram]"
"Amal Bakery","Eggless Black Forest Ice Cake"
"NEW INDIAN BAKERY","Eggless Black Forest Cake( 1 Pound) With Free Dairy Milk And Kitkat"
"Sai Food plaza","Eggless Black Forest Cake [1kg]"
"Sai food corner","Eggless Black Forest Cake [1kg]"
"Bhagwan cake hub","Eggless Black Forest Cake [1kg]"
"Vishnu Confectionery & Bakery","Eggless Black Current Cake (500 gms)"
"Cakelelo.Com-Live Cake Studio","Eggless Black Currant Cake (500 Gms)"
"sona babu cakes","Eggless Birthday Special Cake [1Pound]"
"Cake Duniya","Eggless Birthday Special Cake [1Pound]"
"Cake@Guru","Eggless Anniversary Special Cake [450gms]"
"left over cake","Eggless Anniversary Special Cake [450gms]"
"Jai veeru cakes","Eggless Anniversary Special Cake [450gms]"
"The cake tree","Eggless Anniversary Special Cake [450gms]"
"Sharma Cake & Bakers","Eggless Anniversary Special Cake [450gms]"
"Hindu Bakers","Eggless Anniversary Special Cake [450Gm]"
"Cake Madhuban","Eggless Anniversary Special Cake [450g]"
"cake sansar","Eggless Anniversary Special Cake [450 Gram]"
"Mr.Cake Kitchen","Eggless Anniversary Special Cake [450 Gram]"
"Khatu Shyam Cake Shop","Eggless Anniversary Special Cake [1Pound]"
"Choco Choco Cake","Eggless Anniversary Special Cake [1Pound]"
"Balaji cakes & More","Eggless Anniversary Special Cake [1Pound]"
"Cake Station","Eggless Anniversary Special Cake"
"KUKKU CAKE WALA","Eggless Anniversary Special Cake"
"Cake Art- A Unit of AJ Group","Eggless Anniversary Special Cake"
"Cake Depo","Eggless Anniversary Special Cake"
"deli2go","Egg Wrap"
"Panch Phoron","Egg Roll"
"Kolkata Famous Kati Rolls","Egg Roll"
"Egg Berg","Egg Roll"
"BHABANI CHOWMIN CENTRE","Egg Roll"
"Kolkata Special Kathi Rolls","Egg Roll"
"Food & Flavour","Egg Roll"
"Kolkata Spicy Restaurant","Egg Roll"
"Achoo Fast Foods","Egg Roll"
"Priya Chinese Fast Food","Egg Roll"
"Hokart - Kolkata king katti roll wala","Egg Roll"
"Krishna Fast Food","Egg Roll"
"Rollicious","Egg Roll"
"Pihu's","Egg Roll"
"AFC(American fried Chicken)","Egg Roll"
"Chicken King","Egg Roll"
"Paratha Roll","Egg Roll"
"wok story","Egg Roll"
"Burger Burritos","Egg Roll"
"Jibhe Jol","Egg Roll"
"Hotwheelz","Egg Roll"
"MR MOMO","Egg Roll"
"The Shawarma King","Egg Roll"
"Disha Restaurant","Egg Roll"
"Dream Land Food Corner","Egg Roll"
"FRIENDS AND COFFEE","Egg Roll"
"Eat And Smile Restaurant","Egg Roll"
"Foodflix","Egg Roll"
"BARBAQUE STATION","Egg Roll"
"Shyam Store","Egg Roll"
"Super Rolls","Egg Roll"
"Ginni's Roll","Egg Roll"
"FOODIES AT HOME","Egg Roll"
"BAAP OF ROLLS","Egg Roll"
"Sinora Food Corner","Egg Roll"
"Desi Choka","Egg Roll"
"lassi Store","Egg Roll"
"Loknath Home Kitchen","Egg Roll"
"Basanti Cabin Hotel Cum Restaurant","Egg Roll"
"Spicy chilly","Egg Roll"
"Urban Tent","Egg Roll"
"Daya Hari Chatpata","Egg Roll"
"Hyderabadi Biryani House","Egg Roll"
"Apna Adda","Egg Roll"
"Poha point","Egg Roll"
"Biren Kitchen","Egg Roll"
"Tibet Kitchen","Egg Roll"
"WOW CHINESE FAST FOOD","Egg Roll"
"MANAS FASTFOOD CENTER AND BIRYANI","Egg Roll"
"Saroj Fast Food Centere","Egg Roll"
"The Burritos Wrap and Rolls","Egg Roll"
"Error 404","Egg Roll"
"K.K. FAMOUS KATI ROLL","Egg Roll"
"Panthashala","Egg Roll"
"Sudhriti Hotel & Restaurant","Egg Roll"
"Dolly's Kitchen","Egg Roll"
"POUSHALI FAST FOOD CENTRE","Egg Roll"
"Aayaat Biryani","Egg Roll"
"Chahat Egg World","Egg Roll"
"Rich in Rolls","Egg Roll"
"A & A RESTRO CUM CAFE","Egg Roll"
"Rajbir Restaurant","Egg Roll"
"TWO AND A HALF BITES","Egg Roll"
"Kitchen Corner","Egg Roll"
"Atharv Fast Food Corner","Egg Roll"
"Honeydew","Egg Roll"
"Tava Roll","Egg Roll"
"DEEDAR E TAJ FOOD COURT","Egg Roll"
"KOLKATA FAMOUS KATI ROLL","Egg Roll"
"Emerald 3:14","Egg Roll"
"ROYAL BRIYANI","Egg Rice"
"KSN FOODIES","Egg Parotta [02 Nos] [With Salna]"
"Yumi Handi Biriyani & Kilo Biriyani","Egg Mati Hand Biriyani"
"Bismillah Biryani Centre","Egg Masala"
"MANNA MESS","Egg Fried Rice"
"Kabali Biryani","Egg Fried Rice"
"Kabab Magic","Egg Fried Rice"
"SIMHHAPURI GRANDS","Egg Fried Rice"
"K.G.N FAST FOOD","Egg Fried Rice"
"K.G.F (Kats Grill N Fries)","Egg Fried Rice"
"New Pizza Planet","Egg Fried Rice"
"Say Chinese","Egg Fried Rice"
"Hotel Nisaraga","Egg Fried Rice"
"Karavali spicy","Egg Fried Rice"
"Beijing Bites","Egg Fried Rice"
"SATHYAS","Egg Fried Rice"
"NAR KABAB & FAST FOOD","Egg Fried Rice"
"HOTEL FOODLAND FAMILY GARDEN RESTAURANT","Egg Fried Rice"
"Kerala la Paratha","Egg Fried Rice"
"Porkeats","Egg Fried Rice"
"Namma Banashankari Donne Biriyani","Egg Fried Rice"
"Hotel 90 90","Egg Fried Rice"
"Hot Chinese Combo","Egg Fried Rice"
"Hot Box","Egg Fried Rice"
"Sanam Hotel And Caterers","Egg Fried Rice"
"Flora's Cafe","Egg Fried Rice"
"Mr.momo","Egg Fried Rice"
"Hina Homemade Biryani","Egg Fried Rice"
"Food Ikon","Egg Fried Rice"
"Mr Rice Box","Egg Fried Rice"
"Food Stock Exchange","Egg Fried Rice"
"Peturam","Egg Fried Rice"
"Food Stop","Egg Fried Rice"
"JD Restaurant","Egg Fried Rice"
"Jazeera Restaurant","Egg Fried Rice"
"Charminar Restaurant","Egg Fried Rice"
"Ara Bites","Egg Fried Rice"
"North Indian Bhukkads - NIB","Egg Fried Rice"
"JACKY CHING","Egg Fried Rice"
"Momo hub","Egg Fried Rice"
"Mom,s Magic kitchen","Egg Fried Rice"
"APARANJI NAATI MANE","Egg Fried Rice"
"Shikara foods","Egg Fried Rice"
"Spice Villa","Egg Fried Rice"
"UPPI MILITARY HOTEL","Egg Fried Rice"
"Radha Family Restaurant And Lodge","Egg Fried Rice"
"Barbie Food Stall","Egg Fried Rice"
"LN KITCHEN'S","Egg Fried Rice"
"Gvp food's","Egg Fried Rice"
"Coorg oota mane","Egg Fried Rice"
"Zain Kabab Zone","Egg Fried Rice"
"Fried Bowl","Egg Fried Rice"
"ZAM ZAM BIRIYANI CORNER","Egg Fried Rice"
"Midnight Munchies","Egg Fried Rice"
"Roti  Boti","Egg Fried Rice"
"Rainbow Restaurant","Egg Fried Rice"
"Alishaan Family restaurant","Egg Fried Rice"
"Dindigul Thalappakatti","Egg Fried Rice"
"Chick & Rolls","Egg Fried Rice"
"Thalassery mess","Egg Fried Rice"
"M S K AMBUR BIRIYANI","Egg Fried Rice"
"Raj Fusion Kitchen","Egg Fried Rice"
"Biryani Sagar","Egg Fried Rice"
"The Asian Wok","Egg Fried Rice"
"Disha Roti Land Family Dhaba","Egg Fried Rice"
"Bihar Ki Shan","Egg Fried Rice"
"Sri Chamundeshwari Chandrappa Hotel","Egg Fried Rice"
"Meghana pork hotel","Egg Fried Rice"
"PARADISE CORNER","Egg Fried Rice"
"MEEZAN BIRYANI POINT","Egg Fried Rice"
"China Coast","Egg Fried Rice"
"China Kitchen Fast Food","Egg Fried Rice"
"China Pearl","Egg Fried Rice"
"Anda Ka Maharaja","Egg Fried Rice"
"Biryani House 2.0","Egg Fried Rice"
"AMBUR KITCHEN","Egg Fried Rice"
"Chinese PURPLE","Egg Fried Rice"
"Chinese Wok","Egg Fried Rice"
"Gilly's 104 Bar","Egg Fried Rice"
"ssb biriyani kuteera","Egg Fried Rice"
"GOBBLEDEEYUM","Egg Fried Rice"
"Star Biryani House","Egg Fried Rice"
"Ginger","Egg Fried Rice"
"Taste of Darjeeling","Egg Fried Rice"
"Adhithya vardhan tiffin center","Egg Dosa"
"KERALA CHEF","Egg Dosa"
"TASTES OF EDEN","Egg Dosa"
"Andhra Spicy Foods","Egg Dosa"
"Telugu Velugu","Egg Dosa"
"Dosa Chicken & Tiffins","Egg Dosa"
"SUNRISE MOTEL","Egg Curry"
"Tapri By The Corner","Egg Curry"
"SAMBHAWANAZ KITCHEN","Egg Curry"
"Raj The Biryani House","Egg Curry"
"Darbar Caterer","Egg Curry"
"PARAMOUNT KITCHENS","Egg Curry"
"Yaara Da Dhaba","Egg Curry"
"Hotel The Hills","Egg Curry"
"Dishoom Hyderabadi Biryani","Egg Curry"
"NH-47 Kerala Kitchen","Egg Curry"
"Sfs Health Cafe","Egg Curry"
"BHOJAN","Egg Curry"
"SVK Food Corner","Egg Curry"
"Mohan Murge Wala (Sai Market)","Egg Curry"
"Bittu Di Kitchen","Egg Curry"
"Planet Thali and Fast Food","Egg Curry"
"Purvanchal Express","Egg Curry"
"Fork Street","Egg Curry"
"79 Restro Bar","Egg Curry"
"Hotel Rana","Egg Curry"
"Masterchef","Egg Curry"
"V TUTUS Veg/Non Veg Restaurant","Egg Curry"
"North Tadka Restaurant","Egg Curry"
"The Bihari  Resturant","Egg Curry"
"Rola Wala","Egg Curry"
"Aizam's Food Treasure","Egg Curry"
"Biryani Villa","Egg Curry"
"Shawarma  Palace","Egg Curry"
"AMMA RESTAURANT","Egg Curry"
"Basmati Express","Egg Curry"
"GUAVA - ALL DAY BISTRO","Egg Curry"
"Biryani & Kebab By Zahid Foods","Egg Curry"
"MOU RESTAURANT & HOTEL","Egg Curry"
"THE MASTER CHEF RESTAURANT","Egg Curry"
"Egg Time","Egg Curry"
"Zaika","Egg Curry"
"Spectrum","Egg Curry"
"Chaudhary Dhaba","Egg Curry"
"Punjabi Handi","Egg Curry"
"FOODILICIOUS","Egg Curry"
"Banda City Kitchen","Egg Curry"
"khan Shama dhaba special chicken Biryani(apka man hamara zaika)","Egg Curry"
"Food Lovers","Egg Curry"
"A CUBE KITCHEN","Egg Curry"
"Esha Meals","Egg Curry"
"Raichur Biryani House","Egg Curry"
"THANI NADAN","Egg Curry"
"Sahib'S","Egg Curry"
"Mama matan chicken bhandar","Egg Curry"
"SAI DARBAR RESTAURENT","Egg Curry"
"Delicious Biryani","Egg Curry"
"Andaaz E Dilli","Egg Curry"
"Aap ki Khaatir","Egg Curry"
"Indian Biryani","Egg Curry"
"AMMA KITCHEN","Egg Curry"
"Egg House (Rooftop Family Cafe)","Egg Boil Kofta"
"Dum Matka","Egg Biryanis"
"Ahmed Hotel","Egg Biryani Half"
"New Amina Biryani","Egg Biryani"
"ZAIKA THE FINE DINING RESTAURANT","Egg Biryani"
"Zaffran family restaurant","Egg Biryani"
"Hyderabad Badshahi Biryani","Egg Biryani"
"Hungrilla","Egg Biryani"
"99 Spicy Biyani's","Egg Biryani"
"A S Star Biryani","Egg Biryani"
"Kabab Mandra","Egg Biryani"
"Woodfired Cafe","Egg Biryani"
"Kebab Ghar","Egg Biryani"
"KHANA EXPRESS","Egg Biryani"
"Kolkata Arsalan Biryani","Egg Biryani"
"Kolkata Ashirwad Biryani","Egg Biryani"
"Kolkata Ashirwad Biryani House","Egg Biryani"
"Kolkata Biryani - Jugsalai","Egg Biryani"
"Kolkata Biryani And Fast Food Corner","Egg Biryani"
"Kolkata Royal Biryani","Egg Biryani"
"Kolkata Royal Biryani House","Egg Biryani"
"Village Donne Biryani","Egg Biryani"
"Village Donne Biriyani","Egg Biryani"
"VELMURUGAN HOTEL AND SWEET","Egg Biryani"
"Laa-Jawaab","Egg Biryani"
"Aizam Biryani Hub","Egg Biryani"
"Latenight Biryani","Egg Biryani"
"HANUMANTHU PALAV(Non-Veg)","Egg Biryani"
"AL TAJ BIRYANI","Egg Biryani"
"LOVE FOR BIRYANI","Egg Biryani"
"Ambi Military Hotel","Egg Biryani"
"Tunde Biryani","Egg Biryani"
"TryMe","Egg Biryani"
"AMBUR BIRYANI POINT","Egg Biryani"
"Gourmet Restaurent and bakery","Egg Biryani"
"Ambur Hot Dum Biriyani","Egg Biryani"
"GOLDEN HORSE RESTAURANT","Egg Biryani"
"Tiffin box","Egg Biryani"
"Garage Food Company","Egg Biryani"
"GAON KA SWAD","Egg Biryani"
"MEALS @ ONE","Egg Biryani"
"Fuzic","Egg Biryani"
"Angaara (Hotel Ganga Regency)","Egg Biryani"
"Mehfil Arabic Restaurant","Egg Biryani"
"Angithi Punjabi Family Restaurant","Egg Biryani"
"Mid-Night Crunch","Egg Biryani"
"Aparanji Biriyani Mane","Egg Biryani"
"ARA RASOI","Egg Biryani"
"The Hungry Port","Egg Biryani"
"Askanytime Kitchen","Egg Biryani"
"Nati Mane","Egg Biryani"
"Nati Mane Donne Biriyani","Egg Biryani"
"New A1 Bombay Bhatiyara","Egg Biryani"
"NEW ABHIRUCHI RESTAURANT","Egg Biryani"
"New Bombay Biryani","Egg Biryani"
"New Dada Bhai Biryani","Egg Biryani"
"Emerald Ruby NON VEG","Egg Biryani"
"New Hoskote Donne Biryani","Egg Biryani"
"Eggsplore","Egg Biryani"
"Eggers Cafe","Egg Biryani"
"New tourist hotel","Egg Biryani"
"Babar Ashirbad biryani","Egg Biryani"
"Nizam's Kitchen","Egg Biryani"
"Nizam's Kitchens","Egg Biryani"
"Dsilvas Kitchen","Egg Biryani"
"dp ambur hot dum biryani","Egg Biryani"
"Donne Biryani @Traffic Jam","Egg Biryani"
"DONNE BIRIYANI MANE","Egg Biryani"
"Original Ambur Briyani since 1967","Egg Biryani"
"OSMANIA BIRYANI","Egg Biryani"
"The Biryani grand","Egg Biryani"
"Diet South Indian Restaurant","Egg Biryani"
"Paradise Food Cord","Egg Biryani"
"BARAGAD FOOD WORKS PVT LTD (HOUSE OF HUNGER)","Egg Biryani"
"Pavilion Restaurant","Egg Biryani"
"Desi Dhaba","Egg Biryani"
"Delicious Fast Food And Tiffin Hub","Egg Biryani"
"Tasty Mizaj","Egg Biryani"
"Bengal Kitchen","Egg Biryani"
"Darbar Biryani","Egg Biryani"
"Dada Haji Biryani","Egg Biryani"
"Punjab on Cloud","Egg Biryani"
"QUALITY AMBUR DUM BIRIYANI","Egg Biryani"
"Super Star Haji Biryani","Egg Biryani"
"SUPER HAJI BIRIYANI","Egg Biryani"
"Biryani's' N' More","Egg Biryani"
"RAMESH HOME FOOD","Egg Biryani"
"Ramesh Kulfi","Egg Biryani"
"Biryani Adda","Egg Biryani"
"STAR BRIYANI","Egg Biryani"
"Star Ambur Briyani","Egg Biryani"
"Star Ambur Biryani","Egg Biryani"
"SS PALACE (Old SS PARADISE) TOWER CLOCK","Egg Biryani"
"Biryani Central","Egg Biryani"
"Sri Roopa Multicuisine Family Restaurant","Egg Biryani"
"Ritesh Biriyani N Fast Food","Egg Biryani"
"Biryani Hub","Egg Biryani"
"RM UDUPI LUNCH HOME","Egg Biryani"
"Biryani Means Heaven BY Vintage","Egg Biryani"
"SRI ANNAPOORNESHWARI JONNE BIRYANI","Egg Biryani"
"chennur Biryani (New Branch )","Egg Biryani"
"ROYAL STAR BRIYANI","Egg Biryani"
"Royal Zayka","Egg Biryani"
"Bite FC","Egg Biryani"
"RP Amy Foodz","Egg Biryani"
"Sahuji Ka Dhaba","Egg Biryani"
"CHANDU BIRIYANI","Egg Biryani"
"Indian Royal Biryani","Egg Biryani"
"Sardarji Da Kitchen","Egg Biryani"
"Cafe Biryani","Egg Biryani"
"Savji Donne Biriyani","Egg Biriyani"
"Taiki","Dynamite Roll"
"Momici-By Club O7","Duo of Mushroom Strognoff"
"Dum Pe Dum","Dum Pe Dum Special Paneer Tikka [8 Pieces]"
"Hari Om Centre","Dum Biryani"
"Food Way Restaurant","Dum Biryani"
"Amul Ice Cream","Duetz Mango 60 Ml"
"Shri Gokul Dairy Farm","Dudh ka Halwa [250gm]"
"Ram Misthan Bhandar","Dudh Barfi"
"Thaff Delicacy-Paravoor","Duck Roast"
"Dubai Dum Biryani","Dubai Dum Biryani [1kg]"
"Nayara Chinese Corner","Dry Manchurian ( 14 Pcs)"
"MP 50 Restaurant","Dry Fry"
"Sri Venkateswara Oliga (NTR) Center","Dry Fruit Oliga"
"Khichdi Express","Dry Fruit Lassi"
"Madras Meal Company","Dry Fruit Lassi"
"Mega Biryani","Dry Fruit Lassi"
"Snack House","Dry Fruit Lassi"
"Kachori Chowk","Dry Fruit Lassi"
"SHIV SAWALIYA ICECREAM","Dry Fruit Icecream [250ml]"
"NEW GANGOUR SWEETS (Mango)","Dry Chamcham( 5 Piece )"
"The Great Wok by Flayvor Co.","Drums Of Heaven"
"Uttar Dakshin","Drums Of Heaven"
"The Altira Hotel","Drums Of Heaven"
"Aurum","Drums Of Heaven"
"Foodsmiths","Drums Of Heaven"
"BLUE O DINING AND CAFE","Drums Of Heaven"
"Amazing Asia","Drums Of Heaven"
"Panch Phoran","Drums Of Heaven"
"Ninhao Asian Kitchen","Dragon Spring Roll"
"The Ghost Kitchen","Draculas Delight"
"Home Made Chicken","Double Omlete Frankie"
"STAR HOME","Double Omelette"
"Rolls Raja","Double Egg Roll"
"Calcutta Cabin","Double Egg Double Chicken Roll"
"Brishti Fast Food","Double Egg Chicken Roll [1pc]"
"Fun Byts","Double Decker Burger"
"The Amritsari Dhaba","Double Decker Burger"
"The Egg Eatery Eggstremely Delicious","Double Decker"
"Cake Adda","Double Chocolate Cake [1 Pound]"
"NH1 Bowls - Highway To North","Double Chocolate Brownie"
"The Paul Bakery","Double Choco Chip Cake (Eggless)"
"Roll Corner By The Greasy Spoon","Double Chicken Egg Roll"
"Jashuben Shah Old Pizza (Urban Choak Food Court)","Double Cheese Pizza"
"Collegian Sandwich & Pizza","Double Cheese Pizza"
"Kaka Ni Sandwich & Bombay Bhel","Double Cheese Pizza"
"Pizza Delight Cafe","Double Cheese Pizza"
"T Bar","Double Cheese Pizza"
"Foodie'S Call","Double Cheese Pizza"
"Marko's Pizza Cafe","Double Cheese Pizza"
"Cafe Chilli Flakes","Double Cheese Pizza"
"S2 PIZZA AND CHAATS","Double Cheese Pizza"
"Dev Fast Food","Double Cheese Burger"
"Mellow caffe","Double Cheese Burger"
"Ttok Chaat House","Double Cheese Burger"
"Roll Express (Urban Estate)","Double Achari Chaap Roll"
"Shree Bhojanam","Dosa Combo"
"Tamil Pasanga Cafe","Dosa Combo"
"Tirupati Kheeru","Dosa / Idli / Uttapam Kheeru (aka Khiru Or Batter)"
"HOTEL WELCOME","Dosa"
"Cookie Man","Donut"
"Mandya Gowdru Donne Biryani","Donne Biryani Rice"
"Chikpet Donne Biriyani House","Donne Biryani Rice"
"English thyme restaurant","Donne Biryani Rice"
"Donne Biriyani Point","Donne Biryani Rice"
"Donne Biryani","Donne Biryani Rice"
"Donne Biryani Express","Donne Biryani Rice"
"SHITAL HIWALE","Doll Cake"
"Abhiram & Son's","Doll Cake"
"Jalali Wale","Doda Burfi"
"Manjuben Tiffinwala","Dinner Home Made"
"Kathiyavadi soda shop","Digest Soda + Any Flavour Soda Masti"
"Holy Doh! Pizza","Diavola Pizza"
"Risalo Italian Pizza","Diavola Pizza"
"New Pathak Sweets","Dhokla ( 250 Gms )"
"VASAN MESS","Dhal Vada [1 Pic]"
"Smoke Tales","Dessert Of The Day"
"Cinnaspice","Dessert Of The Day"
"Nani De Parathe","Deshi Ghee Methi Paratha [ 2 Pc]"
"Agra Fast Food and Restaurant","Deluxe Thali"
"Bikanervala","Deluxe Thali"
"Dilip Restaurant","Deluxe Thali"
"Mother India","Deluxe Aloo Patties"
"Tasty Stuff","Death By Chocolate Sundae"
"Gully Foods","Death By Chocolate Sundae"
"Juice Shop","Death By Chocolate Sundae"
"The Waffles & Creamery Co","Death By Chocolate"
"Corner House Ice Cream","Death By Chocolate"
"THREE IDIOTS CAFE","Death By Chocolate"
"Charlie Who? by Flayvor Co.","Death By Chocolate"
"DELIGHT CAFE AND CHAI","Death By Chocolate"
"7th Heaven","Death By Chocolate"
"Empire juice shop","Death By Chocolate"
"Cream & Fudge","Death By Chocolate"
"Lassi Spot","Death By Chocolate"
"ICE STONE ICE CREAM","Death By Chocolate"
"Delightz","Death By Chocolate"
"Hyperscoop Icy junction","Death By Chocolate"
"Ice cream station","Death By Chocolate"
"Polar Bear","Death By Chocolate"
"Roll Express","Dbl. Egg Dbl Mutton Seekh Roll"
"ROLL HUB","Dbl Egg Dbl Veggie Roll"
"The American Eatery | Superdonuts","Date Walnut Slice"
"Santushti Shake & More","Dark Noir Thick Shake"
"BAKERS HOUSE","Dark Chocolate Truffle Cake"
"Choco Rocks","Dark Chocolate"
"Waffles 2 Waffles","Dark Chocolate"
"Super Deuxe Bakery","Dark Chocolate"
"Smor & Mel","Dark Chocolate"
"Half Chocolate","Dark Chocolate"
"Tasty Treats","Dark Chocolate"
"Misal Darbar","Darbar South Cheese Misal"
"Avani's Khapoli Vada","Damni Dhokla"
"Prachand Food Service","Dalwada Bhajiya (200 gms)"
"Fakira Chanachur (Tulsi Bhawan)","Dalmot Chanachur (1 Kg)"
"Balaji Dalwada Centre","Dal Vada(500 gms)"
"Anand Dalvada & Snacks Parlour","Dal Vada"
"Hinglaj Daal Vada","Dal Vada"
"SHER - E- PUNJAB","Dal Tarka"
"Pipal","Dal Tarka"
"Tanndoori Hut","Dal Tarka"
"Khichdi Palace","Dal Tadka Khichdi"
"Khichdi Kahani","Dal Tadka Khichdi"
"Tulsi Khatiyawadi","Dal Tadka"
"Moughal Chowk","Dal Mughlai"
"G.K Dhaba","Dal Makhni"
"Bhatti Ki Rasoi","Dal Makhani"
"Kailash Parbath","Dal Makhani"
"Kailash Parbat","Dal Makhani"
"The Ambient Turret Hotel","Dal Makhani"
"Status by Silver Leaf","Dal Makhani"
"Lion's Pride","Dal Makhani"
"Foodie's Heaven","Dal Makhani"
"New Sheetal Restaurant","Dal Makhani"
"MASALA DARBAR BY BIG PITCHER","Dal Makhani"
"Taj Hotel","Dal Makhani"
"Hotel Solitaire Inn","Dal Makhani"
"Hotel Alba Premier","Dal Makhani"
